Steps,Mean Biomass,Minimum Biomass,Maximum Biomass
0,4,1,4
1,3.99307076,0.00295,4.0059
2,3.991465837,0.00295,4.0118
3,3.987581226,0.00295,4.0177
4,3.988259914,0.0059,4.0236
5,3.982857196,0.00295,4.0295
6,3.982777671,0.0059,4.0354
7,3.981939373,0.00295,4.0413
8,3.978821949,0.00295,4.0472
9,3.977226559,0.00295,4.0531
10,3.976391625,0.0059,4.059
11,3.97251711,0.00295,4.0649
12,3.970164629,0.00295,4.0708
13,3.97161443,0.0059,4.0767
14,3.969263631,0.00295,4.0826
15,3.96767385,0.0059,4.0885
16,3.966844525,0.00885,4.0944
17,3.966016882,0.00295,4.1003
18,3.964429344,0.0059,4.1062
19,3.964363279,0.00295,4.1121
20,3.963538441,0.00295,4.118
21,3.961954829,0.00295,4.1239
22,3.960372338,0.00295,4.1298
23,3.961072338,0.00295,4.1357
24,3.959492091,0.0059,4.1416
25,3.960193774,0.00885,4.1475
26,3.960136122,0.00295,4.1534
27,3.958558679,0.00295,4.1593
28,3.959263165,0.0059,4.1652
29,3.958448422,0.00295,4.1711
30,3.957633679,0.0059,4.177
31,3.959100865,0.00885,4.1829
32,3.95904826,0.00295,4.1888
33,3.957475865,0.00295,4.1947
34,3.956665608,0.00295,4.2006
35,3.955857034,0.00295,4.2065
36,3.95504846,0.0059,4.2124
37,3.956521255,0.00885,4.2183
38,3.955713802,0.00295,4.2242
39,3.954147015,0.00295,4.2301
40,3.95638251,0.0059,4.236
41,3.957858108,0.00295,4.2419
42,3.957812795,0.0059,4.2478
43,3.959288394,0.00885,4.2537
44,3.960004097,0.00295,4.2596
45,3.959960466,0.00295,4.2655
46,3.961437747,0.0059,4.2714
47,3.960634781,0.00295,4.2773
48,3.95907192,0.0059,4.2832
49,3.959790989,0.00885,4.2891
50,3.961270513,0.0118,4.295
51,3.962750038,0.01475,4.3009
52,3.962709211,0.0177,4.3068
53,3.964949753,0.02065,4.3127
54,3.96414847,0.0236,4.3186
55,3.963347747,0.02655,4.3245
56,3.964828954,0.00295,4.3304
57,3.96478981,0.0059,4.3363
58,3.965511683,0.00295,4.3422
59,3.966994011,0.0059,4.3481
60,3.965435076,0.00295,4.354
